This Year's Rank,Last Year's Rank,Company,Country,Total revenue for 2024 (in USD),Total defense revenue for 2024 (in USD),Total revenue for 2023 (in USD),Total defense revenue for 2023 (in USD),2024 Revenue From Defense
1,1,Lockheed Martin,U.S.,71043000000.00,68390000000.00,67571000000.00,64650000000.00,0.96
2,3,RTX,U.S.,80700000000.00,43500000000.00,74300000000.00,43800000000.00,0.54
3,NEW,China Aerospace Science and Industry Corporation (CASIC),China,120978000000.00,38712922521.00,119788692580.00,38332381625.00,0.32
4,4,Northrop Grumman,U.S.,41000000000.00,36600000000.00,39300000000.00,35200000000.00,0.89
5,5,General Dynamics,U.S.,47716000000.00,36500000000.00,42272000000.00,33700000000.00,0.76
6,7,BAE Systems,U.K.,33600000000.00,32259923372.00,28702980099.00,27558835821.00,0.96
7,6,The Boeing Company,U.S.,66517000000.00,31750000000.00,77794000000.00,32684000000.00,0.48
8,8,China State Shipbuilding Corporation (CSSC),China,111977000000.00,22395326193.00,105779505300.00,21155901060.00,0.20
9,10,L3Harris Technologies,U.S.,21325000000.00,16982000000.00,19430000000.00,15553000000.00,0.80
10,17,Thales,France,22223160000.00,15900840000.00,19929210000.00,10593790000.00,0.72
11,9,China North Industries Corporation (NORINCO),China,68690000000.00,14910000000.00,35477031802.00,7703180212.00,0.22
12,12,China South Industries Group Corporation (CSGC),China,45481800000.00,14099350000.00,44424028269.00,13766784452.00,0.31
13,14,Leonardo,Italy,19228896103.00,13822934783.00,16551948052.00,12414285714.00,0.72
14,13,Airbus,Netherlands/France,74736000000.00,12705120000.00,70775920000.00,12900500000.00,0.17
15,16,Leidos,U.S.,16662000000.00,11558152000.00,15438000000.00,11054232000.00,0.69
16,15,HII,U.S.,11535000000.00,11527000000.00,11454000000.00,11430000000.00,1.00
17,21,Amentum,U.S.,13858000000.00,8488000000.00,7800000000.00,5700000000.00,0.61
18,20,Rheinmetall AG,Germany,10555172236.00,8245594675.00,7768356788.00,5494004975.00,0.78
19,18,Booz Allen Hamilton,U.S.,11979596000.00,7809889000.00,10661896000.00,6823888000.00,0.65
20,25,CACI International Inc,U.S.,8132449000.00,7266596000.00,6702546000.00,4817470000.00,0.89
21,22,Elbit Systems Ltd.,Israel,6827900000.00,6827900000.00,5974700000.00,5974700000.00,1.00
22,19,Hanwha,South Korea,40844772486.00,6817347000.00,40663809821.00,6419250685.00,0.17
23,NEW,GE Aerospace,U.S.,38708000000.00,6109000000.00,35348000000.00,5927000000.00,0.16
24,24,Honeywell,U.S.,34498000000.00,6091000000.00,36662000000.00,4986000000.00,0.18
25,23,Rolls-Royce,U.K.,22489000000.00,5697720000.00,19162630000.00,5070160000.00,0.25
26,29,Saab AB,Sweden,6026000000.00,5542356055.00,4862780000.00,4374500000.00,0.92
27,NEW,MBDA,France,5305000000.00,5305000000.00,4870000000.00,4870000000.00,1.00
28,28,IAI (Israel Aerospace Industries),Israel,6112000000.00,5209000000.00,5327000000.00,4342000000.00,0.85
29,30,Safran,France,29567594000.00,5198256000.00,25096119000.00,4439386000.00,0.18
30,40,KBR,U.S.,7742000000.00,4968400000.00,6956000000.00,3070000000.00,0.64
31,33,Rafael,Israel,4800000000.00,4800000000.00,3808800000.00,3808800000.00,1.00
32,27,Naval Group,France,4761039000.00,4761039000.00,4604120000.00,4604120000.00,1.00
33,NEW,Advanced Technology International,U.S.,4823111746.00,4685356085.00,4261787052.00,4240312758.00,0.97
34,31,Peraton,U.S.,6974300000.00,4376600000.00,6734000000.00,4064000000.00,0.63
35,38,Dassault Aviation,France,6710389614.00,4222077922.00,5194805195.00,3246753247.00,0.63
36,34,Babcock International,U.K.,5606768838.00,4149691083.00,5521658400.00,3752345273.00,0.74
37,36,KNDS,Netherlands,4114286385.00,4114286385.00,3571428571.00,3571428571.00,1.00
38,NEW,EDGE Group,United Arab Emirates,4900000000.00,4020000000.00,3760000000.00,3720000000.00,0.82
39,41,Parsons Corporation,U.S.,6800000000.00,4007100000.00,5400000000.00,3020700000.00,0.59
40,NEW,SpaceX,U.S.,13100000000.00,4000000000.00,8700000000.00,3000000000.00,0.31
41,35,"V2X, Inc.",U.S.,4322155000.00,3921271000.00,3963130000.00,3594250000.00,0.91
42,32,Science Applications International Corporation (SAIC),U.S.,7479000000.00,3873000000.00,7444000000.00,3840000000.00,0.52
43,42,Aselsan A.S.,Turkey,3657785000.00,3541261567.00,3089403352.00,2896191483.00,0.97
44,39,Hindustan Aeronautics Ltd.,India,3561567000.00,3383488650.00,3401720000.00,3219930000.00,0.95
45,43,Textron Inc.,U.S.,13702000000.00,3370000000.00,13683000000.00,2933000000.00,0.25
46,44,TransDigm,U.S.,8157000000.00,3262800000.00,6585000000.00,2568150000.00,0.40
47,50,Turkish Aerospace Industries,Turkey,3287106189.00,3151029596.00,2673762230.00,2205738874.00,0.96
48,46,"Bechtel National, Inc.",U.S.,23000000000.00,3080000000.00,20600000000.00,2270000000.00,0.13
49,49,Ukrainian Defense Industry,Ukraine,3007000000.00,3007000000.00,2206940000.00,2206940000.00,1.00
50,47,ST Engineering,Singapore,8458682008.00,2619970073.00,7521715095.00,2234197780.00,0.31
51,53,QinetiQ,U.K.,2446100000.00,2446100000.00,2360805000.00,2360805000.00,1.00
52,54,Hensoldt AG,Germany,2424242000.00,2424242000.00,1998918000.00,1998918000.00,1.00
53,58,LIG Nex1,South Korea,2360000000.00,2360000000.00,1766650000.00,1766650000.00,1.00
54,62,Polish Armaments Group,Poland,3164538500.00,2278467720.00,2012070000.00,1439680000.00,0.72
55,48,Fincantieri S.p.A.,Italy,8797955377.00,2180982790.00,8272752731.00,2227545095.00,0.25
56,51,Oshkosh,U.S.,10730200000.00,2155200000.00,9657900000.00,2098200000.00,0.20
57,57,Bharat Electronics Ltd,India,2423027510.00,2107034935.00,2093670000.00,1822620000.00,0.87
58,56,"BWX Technologies, Inc.",U.S.,2703654000.00,2095900000.00,2496309000.00,1897700000.00,0.78
59,59,Kongsberg Gruppen ASA,Norway,4543696541.00,2056181401.00,3845549414.00,1699386503.00,0.45
60,52,China Aerospace Science and Technology Corporation (CASC),China,9595214912.00,2053375991.00,9618374558.00,2058332155.00,0.21
61,68,Viasat,U.S.,4519600000.00,2039100000.00,4283800000.00,1818800000.00,0.45
62,NEW,"Korea Aerospace Industries, LTD.",Republic of Korea,2757042865.00,2017258186.00,2911781229.00,2185144499.00,0.73
63,55,Sierra Nevada Corp.,U.S.,2000000000.00,1940000000.00,1993000000.00,1931000000.00,0.97
64,45,Serco,U.K.,6111950000.00,1910000000.00,6222380000.00,1880000000.00,0.31
65,61,Parker Hannifin Corporation,U.S.,19900000000.00,1879000000.00,19100000000.00,1534000000.00,0.09
66,60,Curtiss-Wright Corporation,U.S.,3121000000.00,1792000000.00,2845370000.00,1579640000.00,0.57
67,NEW,Hyundai Rotem,South Korea,3203452985.00,1740000000.00,2630000000.00,1156500000.00,0.54
68,66,Amphenol,U.S.,15222700000.00,1674497000.00,12554700000.00,1381020000.00,0.11
69,65,Eaton,Ireland,24878000000.00,1647000000.00,23196000000.00,1391760000.00,0.07
70,NEW,Palantir Technologies,U.S.,2866000000.00,1574000000.00,2225000000.00,1220000000.00,0.55
71,71,ROKETSAN ROKET SANAY?? VE T?CARET A.?.,Turkey,1545052590.00,1545052590.00,1758496410.00,1758496410.00,1.00
72,64,CAE Inc.,Canada,3477540000.00,1459978000.00,3174174200.00,1368331000.00,0.42
73,67,MITRE,U.S.,2469000000.00,1453000000.00,2300000000.00,1381000000.00,0.59
74,70,Moog Inc.,U.S.,3609159573.00,1394776700.00,3319122221.00,1260573999.00,0.39
75,63,ManTech,U.S.,3100000000.00,1300000000.00,3000000000.00,1400000000.00,0.42
76,79,HEICO,U.S.,3858000000.00,1298000000.00,2968110000.00,1037640000.00,0.34
77,69,Melrose,U.K.,4429628081.00,1287386269.00,4168660199.00,1302238806.00,0.29
78,94,Askeri Fabrika ve Tersane Isletme A.S.,Turkey,1281010000.00,1276176000.00,637035587.00,637035587.00,1.00
79,75,Saudi Arabian Military Industries,Saudi Arabia,1441000000.00,1244500000.00,1320360000.00,1137780000.00,0.86
80,84,Makine ve Kimya Endustrisi,Turkey,1209280000.00,1209280000.00,878349000.00,878349000.00,1.00
81,82,Howmet Aerospace,U.S.,7400000000.00,1184000000.00,6640000000.00,996000000.00,0.16
82,87,Diehl Group,Germany,5082034632.00,1169867965.00,3693540000.00,853400000.00,0.23
83,76,The Aerospace Corporation,U.S.,1365022000.00,1158938000.00,1297391000.00,1112629000.00,0.85
84,74,Navantia,Spain,1653864000.00,1158874000.00,1547619565.00,1149676357.00,0.70
85,72,Keysight Technologies,U.S.,5007000000.00,1157000000.00,5464000000.00,1250000000.00,0.23
86,81,TTM Technologies,U.S.,2442753000.00,1127529000.00,2230000000.00,1005000000.00,0.46
87,86,Indra Group,Spain,5242961039.00,1115799131.00,4701298701.00,884191558.00,0.21
88,99,SES S.A.,Luxembourg,2165982900.00,1082991450.00,2195320000.00,559100000.00,0.50
89,77,Teledyne Technologies,U.S.,5670000000.00,1062700000.00,5635500000.00,1081300000.00,0.19
90,85,StandardAero,U.S.,5228421053.00,993400000.00,4587755102.00,899200000.00,0.19
91,89,Kratos Defense and Security Solutions,U.S.,1136300000.00,988700000.00,1037100000.00,715600000.00,0.87
92,88,Spirit AeroSystems,U.S.,6317000000.00,975200000.00,6047900000.00,789000000.00,0.15
93,NEW,Anduril,U.S.,1000000000.00,950000000.00,500000000.00,399000000.00,0.95
94,NEW,M1 Support Services,U.S.,900000000.00,900000000.00,850000000.00,850000000.00,1.00
95,93,RENK Group,Germany,1232280000.00,887241600.00,1000870000.00,700610000.00,0.72
96,83,Mercury Systems,U.S.,833075000.00,833075000.00,973880000.00,954400000.00,1.00
97,91,Nammo,Norway,1011043000.00,808625000.00,869800000.00,704770000.00,0.80
98,90,Patria,Finland,893961688.00,759523810.00,837662338.00,714287013.00,0.85
99,NEW,AM General,U.S.,740000000.00,740000000.00,740000000.00,740000000.00,1.00
100,100,Hexcel Corporation,U.S.,1900000000.00,703000000.00,1789000000.00,544800000.00,0.37
